ActivityKiss,Kiss
ActivityFrenchKiss,French Kiss
ActivityPoliteKiss,Polite Kiss
ActivityGaggedKiss,Gagged Kiss
ActivityLick,Lick
ActivitySuck,Suck
ActivityNibble,Nibble
ActivityBite,Bite
ActivityWhisper,Sexy Whisper
ActivityTickle,Tickle
ActivityCaress,Caress
ActivityPet,Pet
ActivityCuddle,Cuddle
ActivityRub,Body Rub
ActivityMassageHands,Hands Massage
ActivityMassageFeet,Feet Massage
ActivityPolish,Polish
ActivityGrope,Grope
ActivityPinch,Pinch
ActivitySpank,Spank
ActivitySlap,Slap
ActivityTakeCare,Take Care
ActivityPull,Pull
ActivityChoke,Choke
ActivityMasturbateTongue,Tongue Masturbation
ActivityMasturbateHand,Hand Masturbation
ActivityMasturbateFist,Fist Masturbation
ActivityMasturbateFoot,Foot Masturbation
ActivityMasturbateItem,Item Masturbation
ActivityPenetrateSlow,Slow Penetration
ActivityPenetrateFast,Fast Penetration
ActivityHandGag,Hand Gag
ActivityRestHead,Rest Head
ActivitySpankItem,Item Spank
ActivityTickleItem,Item Tickle
ActivityRubItem,Item Rub
ActivityRollItem,Item Roll
ActivityPourItem,Item Pour
ActivityShockItem,Item Shock
ActivityInject,Item Inject
ActivityMoanGag,Moan into Gag
ActivityMoanGagWhimper,Whimper into Gag
ActivityMoanGagAngry,Shout into Gag
ActivityMoanGagGroan,Groan into Gag
ActivityMoanGagTalk,Talk into Gag
ActivityMoanGagGiggle,Giggle into gag
ActivityGagKiss,Kiss on Gag
ActivityWiggle,Wiggle
ActivityNod,Nod
ActivitySit,Sit
ActivityStruggleArms,Struggle
ActivityStruggleLegs,Struggle
ActivityStep,Step
OrgasmFailResist0,"SourceCharacter is tormented by the vibrations, struggling to keep her cool."
OrgasmFailResist1,"SourceCharacter struggles against the intense vibrations, hardly able to control herself."
OrgasmFailResist2,SourceCharacter resists the stimulation until it finally cuts off abruptly.
OrgasmFailTimeout0,"SourceCharacter vibrators stop abruptly, leaving her trembling yet still just as aroused as before."
OrgasmFailTimeout1,"SourceCharacter moans and trembles, holding back only because the vibrators abruptly stopped."
OrgasmFailTimeout2,"SourceCharacter twists and turns trying to hold back, vindicated by an abrupt end to her torment."
OrgasmFailSurrender0,"SourceCharacter closes her eyes and tries to let herself go, clinging to the edge until it abruptly stops and leaves her feeling empty."
OrgasmFailSurrender1,SourceCharacter moans and silently screams as the vibrators almost bring her to the edge before stopping.
OrgasmFailSurrender2,"SourceCharacter trembles with pleasure until the teasing comes to an abrupt end, feeling just as aroused as before."
Orgasm0,"SourceCharacter trembles and moans loudly, getting a powerful orgasm."
Orgasm1,"SourceCharacter thrashes and loses all control, getting an intense orgasm."
Orgasm2,"SourceCharacter screams silently and rocks her hips, getting a wonderful orgasm."
Orgasm3,"With intense pleasure, SourceCharacter gets a shattering orgasm."
Orgasm4,"SourceCharacter closes her eyes and lets herself go, getting a lovely orgasm."
Orgasm5,SourceCharacter cannot resist the pleasure and succumbs to a great orgasm.
Orgasm6,"Trembling and moaning rapidly, SourceCharacter gets a fierce orgasm."
Orgasm7,"SourceCharacter squirts lots of liquid from her vagina, getting a wet orgasm."
Orgasm8,"SourceCharacter's body cringes and becomes rigid, getting a long and solid orgasm."
Orgasm9,"SourceCharacter goes berserk with pleasure, giving her two back-to-back orgasms."
OrgasmResist0,"Using all of her strengths, SourceCharacter is able to resist her building orgasm."
OrgasmResist1,SourceCharacter fights really hard against her orgasm and is able to resist it.
OrgasmResist2,"While panting and moaning, SourceCharacter is able to resist her orgasm."
OrgasmResist3,"SourceCharacter fights off her coming orgasm, her willpower is greater than her urges."
OrgasmResist4,SourceCharacter concentrates hard and is able to calm down her upcoming orgasm.
OrgasmResist5,SourceCharacter screams silently and fights hard to finally control her orgasm.
OrgasmResist6,"Even while trembling without much control, SourceCharacter can resist her orgasm."
OrgasmResist7,"SourceCharacter's body jerks in all directions, but she manages to fight off her orgasm."
OrgasmResist8,"SourceCharacter meditates and takes deep breathes, resisting her building orgasm."
OrgasmResist9,"By pure luck or some miracle, SourceCharacter is able to combat her orgasm."
Label-ChatSelf-ItemBoots-Kiss,Kiss Foot
Label-ChatSelf-ItemBoots-PoliteKiss,Polite Kiss on Foot
Label-ChatSelf-ItemBoots-Lick,Lick Feet
Label-ChatSelf-ItemBoots-Suck,Suck Big Toe
Label-ChatSelf-ItemBoots-Nibble,Nibble Feet
Label-ChatSelf-ItemBoots-Tickle,Tickle Feet
Label-ChatSelf-ItemBoots-Spank,Spank Feet
Label-ChatSelf-ItemBoots-MassageHands,Massage Feet
Label-ChatSelf-ItemBoots-TakeCare,Polish Toenails
Label-ChatSelf-ItemBoots-Bite,Bite Foot
Label-ChatSelf-ItemBoots-Wiggle,Wiggle Feet
Label-ChatOther-ItemBoots-Bite,Bite Foot
Label-ChatOther-ItemBoots-Kiss,Kiss Foot
Label-ChatOther-ItemBoots-PoliteKiss,Polite Kiss on Foot
Label-ChatOther-ItemBoots-GaggedKiss,Touch Foot with Gag
Label-ChatOther-ItemBoots-Lick,Lick Feet
Label-ChatOther-ItemBoots-Suck,Suck Big Toe
Label-ChatOther-ItemBoots-Nibble,Nibble Feet
Label-ChatOther-ItemBoots-Tickle,Tickle Sole
Label-ChatOther-ItemBoots-Spank,Spank Sole
Label-ChatOther-ItemBoots-MassageHands,Massage Feet
Label-ChatOther-ItemBoots-MassageFeet,Play with Feet
