AnalHookPoseBase,Nothing
AnalHookPoseChain,Chain
AnalHookPoseHair,Hair
AnalHookRestrainBase,SourceCharacter detaches DestinationCharacter anal hook.
AnalHookRestrainChain,SourceCharacter attaches a chain to DestinationCharacter anal hook.
AnalHookRestrainHair,SourceCharacter attaches DestinationCharacter anal hook to TargetPronounPossessive hair.
AnkletLeftLegFurModuleAnkle,Ankle zone
AnkletLeftLegFurModuleKnee,Knee zone
AnkletLeftLegFurOptionk0,None
AnkletLeftLegFurOptionk1,Adding fur
AnkletLeftLegFurOptionn0,None
AnkletLeftLegFurOptionn1,Adding fur
AnkletLeftLegFurSelectAnkle,Wear or remove it
AnkletLeftLegFurSelectBase,Customise your fur accessory:
AnkletLeftLegFurSelectKnee,Wear or remove it
AnkletRightLegFurModuleAnkle,Ankle zone
AnkletRightLegFurModuleKnee,Knee zone
AnkletRightLegFurOptionk0,None
AnkletRightLegFurOptionk1,Adding fur
AnkletRightLegFurOptionn0,None
AnkletRightLegFurOptionn1,Adding fur
AnkletRightLegFurSelectAnkle,wear or remove it
AnkletRightLegFurSelectBase,Customise your fur accessory:
AnkletRightLegFurSelectKnee,wear or remove it
ArmsChainSetAllFours,SourceCharacter uses chains on TargetCharacter to have TargetPronounObject crawling on all fours.
ArmsChainSetBoxTie,SourceCharacter uses chains on TargetCharacter to do a box tie.
ArmsChainSetChainCuffs,SourceCharacter uses chains to tie chain cuffs on DestinationCharacter wrists.
ArmsChainSetHogtied,SourceCharacter uses chains to hogtie TargetCharacter.
ArmsChainSetKneelingHogtie,SourceCharacter uses chains to hogtie TargetCharacter on TargetPronounPossessive knees.
ArmsChainSetSuspensionHogtied,SourceCharacter uses chains to suspend and hogtie TargetCharacter.
ArmsChainSetWristElbowHarnessTie,SourceCharacter uses chains to tie DestinationCharacter wrists and elbows in a harness behind TargetPronounPossessive back.
ArmsChainSetWristElbowTie,SourceCharacter uses chains to tie DestinationCharacter wrists and elbows together behind TargetPronounPossessive back.
ArmsChainSetWristTie,SourceCharacter uses chains to tie DestinationCharacter wrists together behind TargetPronounPossessive back.
ArmsRopeSetAllFours,SourceCharacter uses rope on TargetCharacter to have TargetPronounObject crawling on all fours.
ArmsRopeSetBedSpreadEagle,SourceCharacter uses rope to tie DestinationCharacter arms to the bedposts.
ArmsRopeSetBoxTie,SourceCharacter uses rope on TargetCharacter to do a box tie.
ArmsRopeSetCrossedBoxtie,SourceCharacter uses rope on TargetCharacter to do a crossed boxtie.
ArmsRopeSetHogtied,SourceCharacter uses rope to hogtie TargetCharacter.
ArmsRopeSetInvertedSuspensionAllFours,SourceCharacter uses rope on TargetCharacter to suspend and have TargetPronounObject crawling on all fours upside down.
ArmsRopeSetInvertedSuspensionHogtied,SourceCharacter uses rope to suspend and hogtie TargetCharacter upside down.
ArmsRopeSetKneelingHogtie,SourceCharacter uses rope to hogtie TargetCharacter on TargetPronounPossessive knees.
ArmsRopeSetRopeCuffs,SourceCharacter uses rope to tie rope cuffs on DestinationCharacter wrists
ArmsRopeSetSimpleHogtie,SourceCharacter uses rope to hogtie TargetCharacter.
ArmsRopeSetSuspensionAllFours,SourceCharacter uses rope on TargetCharacter to suspend and have TargetPronounObject crawling on all fours.
ArmsRopeSetSuspensionHogtied,SourceCharacter uses rope to suspend and hogtie TargetCharacter.
ArmsRopeSetSuspensionKneelingHogtie,SourceCharacter uses rope to suspend and hogtie TargetCharacter on TargetPronounPossessive knees.
ArmsRopeSetTightBoxtie,SourceCharacter uses rope on TargetCharacter to do a tight boxtie.
ArmsRopeSetWristElbowHarnessTie,SourceCharacter uses rope to tie DestinationCharacter wrists and elbows in a harness behind TargetPronounPossessive back.
ArmsRopeSetWristElbowTie,SourceCharacter uses rope to tie DestinationCharacter wrists and elbows together behind TargetPronounPossessive back.
ArmsRopeSetWristTie,SourceCharacter uses rope to tie DestinationCharacter wrists together behind TargetPronounPossessive back.
ArmsWebSetCocooned,"SourceCharacter Action the webbing on TargetCharacter, forming a cocoon"
ArmsWebSetHogtied,"SourceCharacter wraps TargetCharacter in webbing, forming a hogtie"
ArmsWebSetKneelingSuspended,SourceCharacter cocoons TargetCharacter in webbing and hangs TargetPronounObject from the ceiling
ArmsWebSetSuspended,SourceCharacter fully wraps TargetCharacter in webbing and uses it to suspend TargetPronounObject
ArmsWebSetSuspensionHogtied,SourceCharacter hogties TargetCharacter with the webbing and uses it to suspend TargetPronounObject
ArmsWebSetTangled,SourceCharacter Action the webbing on TargetCharacter
ArmsWebSetWrapped,"SourceCharacter Action the webbing on TargetCharacter, leaving them fully wrapped"
AttachChain,Chain mittens
AutoPunish,Auto-inflation sensitivity:
AutoPunish,Sensitivity:
BallGagMouthSetNormal,SourceCharacter loosens the gag on DestinationCharacter mouth.
BallGagMouthSetShiny,SourceCharacter polishes the gag on DestinationCharacter mouth.
BallGagMouthSetTight,SourceCharacter tightens the gag on DestinationCharacter mouth.
BallGagMouthTypeNormal,Normal
BallGagMouthTypeShiny,Shiny
BallGagMouthTypeTight,Tight
BeltDecreaseTo-1,DestinationCharacterName vibrating wand stops vibrating.
BeltDecreaseTo0,DestinationCharacterName vibrating wand slows down into a light tease.
BeltDecreaseTo1,DestinationCharacterName vibrating wand returns to a moderate pace.
BeltDecreaseTo2,DestinationCharacterName vibrating wand slows down a tiny bit.
BeltIncreaseTo0,DestinationCharacterName vibrating wand starts teasing TargetPronounObject lightly.
BeltIncreaseTo1,DestinationCharacterName vibrating wand builds up to a moderate pace.
BeltIncreaseTo2,DestinationCharacterName vibrating wand starts buzzing strongly!
BeltIncreaseTo3,DestinationCharacterName vibrating wand jumps up to maximum intensity!
BigMouthMouthStyleDefault,Default lips
BigMouthMouthStyleGrin,Grin lips
BigMouthMouthStyleOpen,Open mouth lips
BigMouthMouthStyleSerious,Serious lips
BigMouthSelectMouthStyle,Pick a latex lip type:
BikiniTypeClosed,Closed
BikiniTypeOpen,Open
Bloated,Bloated
