PlayerGagged,,,(You can use or remove items by selecting specific body regions on yourself.),,
0,,,(You can use or remove items by selecting specific body regions on yourself.),,
0,10,(Adjust your bondage skill.),"(By default, you restrain using your full bondage skill.  You can use less of your skill and make it easier for your victims to escape.)",,"DialogSkillGreater(""Bondage"", 1)"
0,20,(Adjust your evasion skill.),"(By default, you struggle using your full evasion skill.  You can use less of your skill and make it harder for you to struggle free.)",,"DialogSkillGreater(""Evasion"", 1)"
0,100,(Call the maids for help),"(The maids are not supposed to take room calls. This will result in punishment and public humiliation. Are you sure?)",,DialogCanCallMaidsPunishmentOn()
0,0,(Call the maids for help),"(The maids will be here shortly...)",DialogCallMaids(),DialogCanCallMaidsPunishmentOff()
100,0,(Yes! Get me out of this room!),"(The maids will be here shortly...)",DialogCallMaids(),DialogCanCallMaids()
100,0,"(No, don't call the maids.)","(You can use or remove items by selecting specific body regions on yourself.)",,
0,30,(Room administrator action.),"(As a room administrator, you can take these actions.)",,DialogChatRoomPlayerIsAdmin()
0,90,(Use your safeword.),"(A safeword is serious and should not be used to cheat.  It can revert your clothes and restraints to when you entered the lobby, or release you completely.)",,DialogChatRoomCanSafeword()
0,0,(View your current rules.),(Here are your currently active rules.),DialogViewOwnerRules(),DialogCanViewRules()
0,,(Have a photo taken.),,DialogChatRoomPhotoPlayer(),DialogChatRoomCanTakePhotos()
10,,,"(By default, you restrain using your full bondage skill.  You can use less of your skill and make it easier for your victims to escape.)",,
10,0,(Use your full bondage skill.  100%),(You will now use your full bondage skill when using a restraint.  100%),"DialogSetSkillRatio(""Bondage"", 100)",
10,0,(Use most of your bondage skill.  75%),(You will now use most of your bondage skill when using a restraint.  75%),"DialogSetSkillRatio(""Bondage"", 75)",
10,0,(Use half of your bondage skill.  50%),(You will now use half of your bondage skill when using a restraint.  50%),"DialogSetSkillRatio(""Bondage"", 50)",
10,0,(Use very little of your bondage skill.  25%),(You will now use very little of your bondage skill when using a restraint.  25%),"DialogSetSkillRatio(""Bondage"", 25)",
10,0,(Use none of your bondage skill.  0%),(You will now use none of your bondage skill when using a restraint.  0%),"DialogSetSkillRatio(""Bondage"", 0)",
10,0,(Don't change your skill.),(You can use or remove items by selecting specific body regions on yourself.),,
20,,,"(By default, you struggle using your full evasion skill.  You can use less of your skill and make it harder for you to struggle free.)",,
20,0,(Use your full evasion skill.  100%),(You will now use your full evasion skill when trying to struggle free.  100%),"DialogSetSkillRatio(""Evasion"", 100)",
20,0,(Use most of your evasion skill.  75%),(You will now use most of your evasion skill when trying to struggle free.  75%),"DialogSetSkillRatio(""Evasion"", 75)",
20,0,(Use half of your evasion skill.  50%),(You will now use half of your evasion skill when trying to struggle free.  50%),"DialogSetSkillRatio(""Evasion"", 50)",
20,0,(Use very little of your evasion skill.  25%),(You will now use very little of your evasion skill when trying to struggle free.  25%),"DialogSetSkillRatio(""Evasion"", 25)",
20,0,(Use none of your evasion skill.  0%),(You will now use none of your evasion skill when trying to struggle free.  0%),"DialogSetSkillRatio(""Evasion"", 0)",
20,0,(Don't change your skill.),(You can use or remove items by selecting specific body regions on yourself.),,
