SelectTitle,Select your displayed name and title
SearchTitle,Search for a title name
CurrentTitle,Current title: TITLE
Nickname,Nickname
NicknameLocked,Nickname locked by your owner
NicknameTooLong,Nickname is too long (max. 20 characters)
NicknameInvalidChars,Nickname contains invalid characters
TitleNone,None
TitleMistress,Mistress
TitleMaster,Master
TitleKing,King
TitleQueen,Queen
TitleGoddess,Goddess
TitleGod,God
TitleClubSlave,Club Slave
TitleFreeUse,Free Use
TitleArchbishop,Archbishop
TitleBishop,Bishop
TitleArchjudge,Archjudge
TitleJudge,Judge
TitleChampion,Champion
TitleMatron,Matron 
TitlePatriarch,Patriarch
TitlePrimaris,Primaris 
TitleHeadMaid,Head Maid
TitleMaid,Maid
TitleBondageMaid,Bondage Maid
TitleMasterKidnapper,Master Kidnapper
TitleKidnapper,Kidnapper
TitlePatient,Patient
TitlePermanentPatient,Permanent Patient
TitleEscapedPatient,Escaped Patient
TitleNurse,Nurse
TitleDoctor,Doctor
TitleLadyLuck,Lady Luck
TitleLordFortune,Lord Fortune
TitlePatron,Patron
TitleCollegeStudent,College Student
TitleNawashi,Nawashi
TitleHoudini,Houdini
TitleAnimeGirl,Superheroine
TitleAnimeBoy,Superhero
TitlePonyFoal,Foal
TitlePonyFarm,Farm Horse
TitlePonyCold,Cold Blood Horse
TitlePonyWarm,Warm Blood Horse
TitlePonyHot,Hot Blood Horse
TitlePonyWild,Wild Mustang
TitlePonyUnicorn,Shining Unicorn
TitlePonyPegasus,Flying Pegasus
TitlePonyAlicorn,Majestic Alicorn
TitleInfilrationMole,Mole
TitleInfilrationInfiltrator,Infiltrator
TitleInfilrationAgent,Agent
TitleInfilrationOperative,Operative
TitleInfilrationSuperspy,Superspy
TitleMagicSchoolWizard,Wizard
TitleMagicSchoolMagus,Magus
TitleMagicSchoolMagician,Magician
TitleMagicSchoolSorcerer,Sorcerer
TitleMagicSchoolSage,Sage
TitleMagicSchoolOracle,Oracle
TitleMagicSchoolWitch,Witch
TitleMagicSchoolWarlock,Warlock
TitleLittleOne,Little One
TitleBaby,Baby
TitleDL,Diaper Lover
TitleBondageBaby,Bondage Baby
TitleDuchess,Duchess
TitleDuke,Duke
TitleSwitch,Switch
TitlePrincess,Princess
TitlePrince,Prince
TitleMissy,Missy
TitleSissy,Sissy
TitleTomboy,Tomboy
TitleFemboy,Femboy
TitlePet,Pet
TitleDragon,Dragon
TitleWolf,Wolf
TitleMonster,Monster
TitleShapeshifter,Shapeshifter
TitleVampire,Vampire
TitleTurtle,Turtle
TitleThing,Thing
TitleElf,Elf
TitleDrow,Drow
TitlePixie,Pixie
TitleBrat,Brat
TitleKitten,Kitten
TitlePuppy,Puppy
TitleFoxy,Foxy
TitleBunny,Bunny
TitleDoll,Doll
TitleDemon,Demon
TitleAngel,Angel
TitleAlien,Alien
TitleSuccubus,Succubus
TitleIncubus,Incubus
TitleGoodGirl,Good Girl
TitleGoodSlaveGirl,Good Slave Girl
TitleGoodBoy,Good Boy
TitleGoodSlaveBoy,Good Slave Boy
TitleGoodSlave,Good Slave
TitleDrone,Drone
TitleMistree,Mistree
TitleGoodOne,Good One
TitleLiege,Liege
TitleConcubus,Concubus
TitleMajesty,Majesty
TitleCaptain,Captain
TitleAdmiral,Admiral
TitleDominatrix,Dominatrix
TitleMaiestas,Wizard
TitleVincula,Magician
TitleAmplector,Sage
TitleCorporis,Witch
